game_id,date,home_club_id,away_club_id,homeTeamID,awayTeamID,gameID
3081239,2019-01-27,800,12,107,95,9782.0
3081235,2019-01-28,749,252,108,101,9785.0
3080772,2019-01-28,1108,367,158,145,10157.0
3050387,2019-01-29,11,603,83,227,9431.0
3050392,2019-01-29,985,1132,89,92,9432.0
3050389,2019-01-29,931,1237,228,220,9429.0
3050391,2019-01-29,543,379,229,81,9427.0
3050390,2019-01-29,1110,29,219,72,9428.0
3050393,2019-01-29,762,281,86,88,9434.0
3050388,2019-01-30,989,631,73,80,9430.0
3050395,2019-01-30,31,1003,87,75,9436.0
3050394,2019-01-30,180,873,74,78,9433.0
3047736,2019-01-30,995,618,168,175,10861.0
3050396,2019-01-30,148,1010,82,90,9435.0
3058592,2019-02-01,42,23826,128,136,10513.0
3047744,2019-02-01,1082,417,160,170,10864.0
3080785,2019-02-01,5358,366,232,231,10173.0
3058590,2019-02-02,44,82,122,131,10511.0
3050398,2019-02-02,1132,180,92,74,9445.0
3050401,2019-02-02,873,931,78,228,9442.0
3080787,2019-02-02,681,621,140,147,10171.0
3080782,2019-02-02,131,1049,148,146,10167.0
3047748,2019-02-02,1421,244,177,164,10867.0
3058589,2019-02-02,24,16,132,129,10510.0
3050399,2019-02-02,603,989,227,73,9444.0
3058586,2019-02-02,533,38,120,233,10515.0
3058585,2019-02-02,33,18,124,130,10516.0
3047746,2019-02-02,162,415,171,174,10865.0
3050400,2019-02-02,631,1110,80,219,9443.0
3080783,2019-02-02,940,368,152,138,10175.0
3081249,2019-02-02,6195,1038,105,102,9795.0
3047749,2019-02-02,273,1416,163,224,10868.0
3058593,2019-02-02,4,86,234,123,10514.0
3047741,2019-02-02,1420,2969,167,181,10871.0
3050397,2019-02-02,1237,1010,220,90,9446.0
3050405,2019-02-02,148,762,82,86,9438.0
3080790,2019-02-02,3368,3709,151,142,10168.0
3081244,2019-02-02,749,862,108,109,9790.0
3058587,2019-02-02,15,27,119,117,10508.0
3081248,2019-02-02,506,130,98,230,9794.0
3050402,2019-02-02,29,543,72,229,9441.0
3081243,2019-02-03,46,1025,106,97,9793.0
3080789,2019-02-03,1050,714,154,141,10169.0
3047747,2019-02-03,1160,969,235,166,10866.0
3081250,2019-02-03,252,6574,101,104,9792.0
3080788,2019-02-03,150,13,153,143,10170.0
3050403,2019-02-03,1003,985,75,89,9440.0
3081251,2019-02-03,2722,416,221,113,9787.0
3047745,2019-02-03,1041,583,178,161,10872.0
3080784,2019-02-03,1533,12321,156,223,10174.0
3081247,2019-02-03,12,5,95,111,9796.0
3058588,2019-02-03,79,60,133,135,10509.0
3050404,2019-02-03,281,11,88,83,9439.0
3081245,2019-02-03,410,430,99,110,9788.0
3080786,2019-02-03,418,1108,150,158,10172.0
3058591,2019-02-03,167,39,121,125,10512.0
3081246,2019-02-04,8970,398,112,96,9791.0
3050406,2019-02-04,379,31,81,87,9437.0
3080791,2019-02-04,367,1244,145,159,10176.0
3081242,2019-02-04,1390,800,116,107,9789.0
3047694,2019-02-05,244,40,164,176,10818.0
3050432,2019-02-06,29,281,72,88,9461.0
3081253,2019-02-07,398,749,96,108,9801.0
3080797,2019-02-08,366,1050,231,154,10181.0
3047752,2019-02-08,2969,244,181,164,10874.0
3058601,2019-02-08,39,15,125,119,10524.0
3081259,2019-02-08,862,12,109,95,9799.0
3050411,2019-02-09,31,989,87,73,9455.0
3058596,2019-02-09,23826,24,136,132,10519.0
3080799,2019-02-09,3709,940,142,152,10179.0
3080795,2019-02-09,714,367,141,145,10183.0
3050408,2019-02-09,873,379,78,81,9448.0
3047751,2019-02-09,1416,1162,224,165,10873.0
3058600,2019-02-09,60,82,135,131,10523.0
3080792,2019-02-09,13,418,143,150,10177.0
3050407,2019-02-09,1237,1132,220,92,9449.0
3080796,2019-02-09,12321,5358,223,232,10182.0
3050409,2019-02-09,931,985,228,89,9447.0
3050410,2019-02-09,1110,11,219,83,9456.0
3050415,2019-02-09,1010,29,90,72,9451.0
3058599,2019-02-09,42,4,128,234,10522.0
3050413,2019-02-09,180,603,74,227,9453.0
3081258,2019-02-09,430,6195,110,105,9800.0
3047759,2019-02-09,667,1420,225,167,10880.0
3058597,2019-02-09,18,44,130,122,10520.0
3058595,2019-02-09,16,533,129,120,10518.0
3058594,2019-02-09,27,33,117,124,10517.0
3047757,2019-02-09,583,40,161,176,10879.0
3081256,2019-02-09,130,46,230,106,9803.0
3058602,2019-02-10,38,79,233,133,10525.0
3047754,2019-02-10,969,162,166,171,10876.0
3058598,2019-02-10,86,167,123,121,10521.0
3080800,2019-02-10,368,1533,138,156,10178.0
3081255,2019-02-10,1025,252,97,101,9798.0
3047758,2019-02-10,273,618,163,175,10881.0
3080794,2019-02-10,621,131,147,148,10184.0
3081257,2019-02-10,6574,506,104,98,9805.0
3080801,2019-02-10,1049,681,146,140,10186.0
3050412,2019-02-10,281,631,88,80,9454.0
3050414,2019-02-10,148,1003,82,75,9452.0
3047760,2019-02-10,415,1421,174,177,10882.0
3080798,2019-02-10,1244,150,159,153,10180.0
3081261,2019-02-10,416,410,113,99,9806.0
3047755,2019-02-10,995,1160,168,235,10877.0
3081252,2019-02-10,5,1390,111,116,9802.0
3081254,2019-02-10,1038,8970,102,112,9804.0
3047753,2019-02-10,855,1082,169,160,10875.0
3047756,2019-02-10,417,1041,170,178,10878.0
