,club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
294,60,sc-freiburg,Sc Freiburg,L1,,28,25.5,11,39.3,10,Europa-Park Stadion,34700,+€4.43m,Christian Streich,https://www.transfermarkt.co.uk/sc-freiburg/startseite/verein/60
297,24,eintracht-frankfurt,Eintracht Frankfurt,L1,,30,24.8,19,63.3,10,Deutsche Bank Park,51500,€-6.60m,Oliver Glasner,https://www.transfermarkt.co.uk/eintracht-frankfurt/startseite/verein/24
298,15,bayer-04-leverkusen,Bayer 04 Leverkusen,L1,,28,24.5,20,71.4,12,BayArena,30210,€-4.50m,Xabi Alonso,https://www.transfermarkt.co.uk/bayer-04-leverkusen/startseite/verein/15
299,86,sv-werder-bremen,Sv Werder Bremen,L1,,28,24.5,10,35.7,7,Wohninvest-Weserstadion,42100,€-2.15m,Ole Werner,https://www.transfermarkt.co.uk/sv-werder-bremen/startseite/verein/86
300,16,borussia-dortmund,Borussia Dortmund,L1,,32,24.4,16,50.0,14,SIGNAL IDUNA PARK,81365,€-12.10m,Edin Terzic,https://www.transfermarkt.co.uk/borussia-dortmund/startseite/verein/16
301,27,fc-bayern-munchen,Fc Bayern Munchen,L1,,24,25.6,14,58.3,20,Allianz Arena,75024,€-33.40m,Julian Nagelsmann,https://www.transfermarkt.co.uk/fc-bayern-munchen/startseite/verein/27
302,366,real-valladolid,Real Valladolid,ES1,,25,27.7,10,40.0,3,Nuevo José Zorrilla,27618,€-4.00m,Pacheta,https://www.transfermarkt.co.uk/real-valladolid/startseite/verein/366
303,2687,fc-cadiz,Fc Cadiz,ES1,,27,28.6,9,33.3,6,Nuevo Mirandilla,21094,€-6.90m,Sergio,https://www.transfermarkt.co.uk/fc-cadiz/startseite/verein/2687
305,23826,rasenballsport-leipzig,Rasenballsport Leipzig,L1,,26,25.3,17,65.4,18,Red Bull Arena,47069,+€16.12m,Marco Rose,https://www.transfermarkt.co.uk/rasenballsport-leipzig/startseite/verein/23826
306,714,espanyol-barcelona,Espanyol Barcelona,ES1,,23,25.7,6,26.1,3,RCDE Stadium,40500,+€7.40m,Diego Martínez,https://www.transfermarkt.co.uk/espanyol-barcelona/startseite/verein/714
307,367,rayo-vallecano,Rayo Vallecano,ES1,,27,28.2,10,37.0,7,Campo de Fútbol de Vallecas,15105,€-11.30m,Andoni Iraola,https://www.transfermarkt.co.uk/rayo-vallecano/startseite/verein/367
308,237,rcd-mallorca,Rcd Mallorca,ES1,,25,27.8,15,60.0,9,Visit Mallorca Estadi,20500,€-9.70m,Javier Aguirre,https://www.transfermarkt.co.uk/rcd-mallorca/startseite/verein/237
309,82,vfl-wolfsburg,Vfl Wolfsburg,L1,,28,24.7,16,57.1,11,Volkswagen Arena,30000,€-13.05m,Niko Kovac,https://www.transfermarkt.co.uk/vfl-wolfsburg/startseite/verein/82
310,533,tsg-1899-hoffenheim,Tsg 1899 Hoffenheim,L1,,28,25.5,14,50.0,8,PreZero Arena,30150,+€14.70m,André Breitenreiter,https://www.transfermarkt.co.uk/tsg-1899-hoffenheim/startseite/verein/533
311,3709,fc-getafe,Fc Getafe,ES1,,24,27.3,12,50.0,9,Coliseum Alfonso Pérez,16800,€-750k,Quique Sánchez Flores,https://www.transfermarkt.co.uk/fc-getafe/startseite/verein/3709
312,3302,ud-almeria,Ud Almeria,ES1,,28,25.4,13,46.4,2,Power Horse Stadium,15274,€-17.00m,Rubi,https://www.transfermarkt.co.uk/ud-almeria/startseite/verein/3302
313,18,borussia-monchengladbach,Borussia Monchengladbach,L1,,28,25.5,15,53.6,11,Stadion im Borussia-Park,54042,€-1.00m,Daniel Farke,https://www.transfermarkt.co.uk/borussia-monchengladbach/startseite/verein/18
314,1049,fc-valencia,Fc Valencia,ES1,,25,24.5,14,56.0,9,Mestalla,48600,+€42.10m,Gennaro Gattuso,https://www.transfermarkt.co.uk/fc-valencia/startseite/verein/1049
315,150,real-betis-sevilla,Real Betis Sevilla,ES1,,27,28.5,12,44.4,10,Benito Villamarín,59378,€-16.75m,Manuel Pellegrini,https://www.transfermarkt.co.uk/real-betis-sevilla/startseite/verein/150
316,1050,fc-villarreal,Fc Villarreal,ES1,,25,28.0,11,44.0,10,La Cerámica,23500,+€14.12m,Quique Setién,https://www.transfermarkt.co.uk/fc-villarreal/startseite/verein/1050
317,681,real-sociedad-san-sebastian,Real Sociedad San Sebastian,ES1,,27,24.8,5,18.5,5,Reale Arena,39313,+€27.50m,Imanol Alguacil,https://www.transfermarkt.co.uk/real-sociedad-san-sebastian/startseite/verein/681
318,13,atletico-madrid,Atletico Madrid,ES1,,22,27.9,16,72.7,17,Civitas Metropolitano,68456,€-19.55m,Diego Simeone,https://www.transfermarkt.co.uk/atletico-madrid/startseite/verein/13
319,12321,fc-girona,Fc Girona,ES1,,26,26.0,9,34.6,1,Municipal de Montilivi,13286,€-4.50m,Míchel,https://www.transfermarkt.co.uk/fc-girona/startseite/verein/12321
320,940,celta-vigo,Celta Vigo,ES1,,22,26.0,9,40.9,4,Abanca Balaídos,29000,€-4.00m,Carlos Carvalhal,https://www.transfermarkt.co.uk/celta-vigo/startseite/verein/940
326,131,fc-barcelona,Fc Barcelona,ES1,,25,25.4,10,40.0,19,Spotify Camp Nou,99354,€-118.00m,Xavi,https://www.transfermarkt.co.uk/fc-barcelona/startseite/verein/131
328,418,real-madrid,Real Madrid,ES1,,23,27.4,16,69.6,16,Santiago Bernabéu,81044,+€12.15m,Carlo Ancelotti,https://www.transfermarkt.co.uk/real-madrid/startseite/verein/418
330,39,1-fsv-mainz-05,1 Fsv Mainz 05,L1,,27,24.4,12,44.4,7,Mewa Arena,33305,+€8.45m,Bo Svensson,https://www.transfermarkt.co.uk/1-fsv-mainz-05/startseite/verein/39
331,368,fc-sevilla,Fc Sevilla,ES1,,26,28.2,18,69.2,12,Ramón Sánchez-Pizjuán,43883,+€63.50m,Jorge Sampaoli,https://www.transfermarkt.co.uk/fc-sevilla/startseite/verein/368
332,331,ca-osasuna,Ca Osasuna,ES1,,24,27.6,5,20.8,2,El Sadar,23576,€-2.00m,Jagoba Arrasate,https://www.transfermarkt.co.uk/ca-osasuna/startseite/verein/331
339,3524,clermont-foot-63,Clermont Foot 63,FR1,,26,26.0,16,61.5,9,Stade Gabriel-Montpied,13000,+€19.10m,Pascal Gastien,https://www.transfermarkt.co.uk/clermont-foot-63/startseite/verein/3524
340,621,athletic-bilbao,Athletic Bilbao,ES1,,25,27.3,1,4.0,4,San Mamés,53289,+-0,Ernesto Valverde,https://www.transfermarkt.co.uk/athletic-bilbao/startseite/verein/621
343,3911,stade-brest-29,Stade Brest 29,FR1,,24,25.1,10,41.7,5,Stade Francis-Le Blé,15097,€-5.35m,Bruno Grougi,https://www.transfermarkt.co.uk/stade-brest-29/startseite/verein/3911
344,1095,es-troyes-ac,Es Troyes Ac,FR1,,29,25.0,16,55.2,5,Stade de l'Aube,21877,€-7.50m,Claude Robin,https://www.transfermarkt.co.uk/es-troyes-ac/startseite/verein/1095
346,667,rc-strassburg-alsace,Rc Strassburg Alsace,FR1,,25,26.4,9,36.0,6,Stade de la Meinau,29000,€-3.50m,Julien Stéphan,https://www.transfermarkt.co.uk/rc-strassburg-alsace/startseite/verein/667
347,995,fc-nantes,Fc Nantes,FR1,,28,25.8,10,35.7,7,Stade de la Beaujoire,37463,€-10.65m,Antoine Kombouaré,https://www.transfermarkt.co.uk/fc-nantes/startseite/verein/995
348,969,montpellier-hsc,Montpellier Hsc,FR1,,28,25.0,10,35.7,6,Stade de la Mosson,32939,€-1.00m,Romain Pitau,https://www.transfermarkt.co.uk/montpellier-hsc/startseite/verein/969
350,1420,sco-angers,Sco Angers,FR1,,33,24.5,16,48.5,9,Stade Raymond Kopa,19350,+€17.00m,Gérald Baticle,https://www.transfermarkt.co.uk/sco-angers/startseite/verein/1420
351,417,ogc-nizza,Ogc Nizza,FR1,,28,25.0,18,64.3,9,Allianz Riviera,36178,€-37.00m,Lucien Favre,https://www.transfermarkt.co.uk/ogc-nizza/startseite/verein/417
352,244,olympique-marseille,Olympique Marseille,FR1,,27,24.7,18,66.7,15,Orange Vélodrome,67394,€-59.93m,Igor Tudor,https://www.transfermarkt.co.uk/olympique-marseille/startseite/verein/244
353,415,fc-toulouse,Fc Toulouse,FR1,,26,24.0,21,80.8,6,Stadium Municipal,33150,+€600k,Philippe Montanier,https://www.transfermarkt.co.uk/fc-toulouse/startseite/verein/415
354,273,fc-stade-rennes,Fc Stade Rennes,FR1,,29,23.7,12,41.4,12,Roazhon Park,29778,€-6.00m,Bruno Génésio,https://www.transfermarkt.co.uk/fc-stade-rennes/startseite/verein/273
355,162,as-monaco,As Monaco,FR1,,28,23.7,28,100.0,11,Stade Louis-II,18523,+€73.50m,Philippe Clement,https://www.transfermarkt.co.uk/as-monaco/startseite/verein/162
356,1421,stade-reims,Stade Reims,FR1,,27,24.1,18,66.7,8,Stade Auguste-Delaune,21684,+€11.90m,Will Still,https://www.transfermarkt.co.uk/stade-reims/startseite/verein/1421
357,1041,olympique-lyon,Olympique Lyon,FR1,,27,25.0,9,33.3,3,Groupama Stadium,59186,+€36.90m,Laurent Blanc,https://www.transfermarkt.co.uk/olympique-lyon/startseite/verein/1041
360,826,rc-lens,Rc Lens,FR1,,25,25.4,16,64.0,11,Stade Bollaert-Delelis,38223,+€19.94m,Franck Haise,https://www.transfermarkt.co.uk/rc-lens/startseite/verein/826
365,1082,losc-lille,Losc Lille,FR1,,25,24.9,16,64.0,9,Decathlon Arena-Stade Pierre-Mauroy,50186,+€73.50m,Paulo Fonseca,https://www.transfermarkt.co.uk/losc-lille/startseite/verein/1082
367,583,fc-paris-saint-germain,Fc Paris Saint Germain,FR1,,28,25.4,18,64.3,15,Parc des Princes,49691,€-93.20m,Christophe Galtier,https://www.transfermarkt.co.uk/fc-paris-saint-germain/startseite/verein/583
383,1158,fc-lorient,Fc Lorient,FR1,,27,24.1,13,48.1,8,Stade du Moustoir,19010,+€8.45m,Régis Le Bris,https://www.transfermarkt.co.uk/fc-lorient/startseite/verein/1158
